Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
JBMA,1452.13,2877.25,closeAboveATRBuySignal,atrSellSignal,14.0,2.0,16.0,16.0,87.5,1.98
FLUOROCHEM,493.71,362.83,closeAboveATRBuySignal,atrSellSignal,19.0,6.0,25.0,25.0,76.0,0.73
TVSMOTOR,305.26,344.47,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,14.0,5.0,19.0,19.0,73.68,1.13
ELGIEQUIP,381.6,442.18,closeAboveATRBuySignal,atrSellSignal,16.0,6.0,22.0,22.0,72.73,1.16
TATAINVEST,748.71,748.59,closeAboveATRBuySignal,atrSellSignal,13.0,5.0,18.0,18.0,72.22,1.0
TATAMTRDVR,740.7,978.76,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,13.0,5.0,18.0,18.0,72.22,1.32
INOXWIND,1525.86,1383.63,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,12.0,5.0,17.0,17.0,70.59,0.91
DEEPAKNTR,506.23,383.26,closeAboveATRBuySignal,atrSellSignal,14.0,6.0,20.0,20.0,70.0,0.76
PERSISTENT,999.86,862.42,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,14.0,6.0,20.0,20.0,70.0,0.86
GESHIP,234.63,217.03,closeAboveATRBuySignal,atrSellSignal,13.0,6.0,19.0,19.0,68.42,0.92
TRITURBINE,469.75,335.61,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,5.0,15.0,15.0,66.67,0.71
CENTURYPLY,283.47,294.59,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,8.0,4.0,12.0,12.0,66.67,1.04
TATASTEEL,246.55,203.76,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,16.0,8.0,24.0,24.0,66.67,0.83
BSOFT,852.1,892.73,closeAboveATRBuySignal,atrSellSignal,14.0,7.0,21.0,21.0,66.67,1.05
ADANIPOWER,830.44,1305.13,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,15.0,8.0,23.0,23.0,65.22,1.57
MAHLIFE,365.22,523.17,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,9.0,5.0,14.0,14.0,64.29,1.43
MMTC,277.87,509.39,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,9.0,5.0,14.0,14.0,64.29,1.83
NBCC,257.64,462.18,closeAboveATRBuySignal,atrSellSignal,16.0,9.0,25.0,25.0,64.0,1.79
RVNL,1023.7,736.12,closeAboveATRBuySignal,atrSellSignal,14.0,8.0,22.0,22.0,63.64,0.72
BLS,1777.03,2050.68,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,12.0,7.0,19.0,19.0,63.16,1.15
SUZLON,2155.52,3407.15,closeAboveATRBuySignal,atrSellSignal,17.0,10.0,27.0,27.0,62.96,1.58
TATAELXSI,800.04,693.69,closeAboveATRBuySignal,atrSellSignal,15.0,9.0,24.0,24.0,62.5,0.87
ALKYLAMINE,360.39,443.44,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,10.0,6.0,16.0,16.0,62.5,1.23
BAJAJHLDNG,132.05,225.83,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,6.0,16.0,16.0,62.5,1.71
ANGELONE,874.66,1007.57,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,10.0,6.0,16.0,16.0,62.5,1.15
NETWORK18,261.24,238.59,closeAboveATRBuySignal,atrSellSignal,15.0,9.0,24.0,24.0,62.5,0.91
BLUESTARCO,243.21,202.26,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,11.0,7.0,18.0,18.0,61.11,0.83
ABB,387.8,302.26,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,11.0,7.0,18.0,18.0,61.11,0.78
SWANENERGY,465.89,443.08,closeAboveATRBuySignal,atrSellSignal,11.0,7.0,18.0,18.0,61.11,0.95
POONAWALLA,838.48,1506.66,closeAboveATRBuySignal,atrSellSignal,14.0,9.0,23.0,23.0,60.87,1.8
CANBK,161.11,211.98,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,15.0,10.0,25.0,25.0,60.0,1.32
TATAPOWER,643.23,566.21,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,12.0,8.0,20.0,20.0,60.0,0.88
GSFC,218.3,273.66,closeAboveATRBuySignal,atrSellSignal,16.0,11.0,27.0,27.0,59.26,1.25
VARROC,22.76,273.7,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,10.0,7.0,17.0,17.0,58.82,12.03
FACT,1537.12,1316.71,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,10.0,7.0,17.0,17.0,58.82,0.86
IRFC,468.55,470.49,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,7.0,5.0,12.0,12.0,58.33,1.0
