Date,Stock,Stock Growth,Profit,Winrate,Profit/StockGrowth,Wins,Losses,Entries,Exits,CheckpointProfit1,CheckpointWins1,CheckpointLosses1,CheckpointEntries1,CheckpointExits1,CheckpointWinrate1,CheckpointProfit2,CheckpointWins2,CheckpointLosses2,CheckpointEntries2,CheckpointExits2,CheckpointWinrate2,CheckpointProfit3,CheckpointWins3,CheckpointLosses3,CheckpointEntries3,CheckpointExits3,CheckpointWinrate3
2024-08-09,PGEL,1154.04,188.83,100.0,0.16,13,0,13,13,70.43,3.0,0.0,3.0,3.0,100.0,53.75,5.0,0.0,5.0,5.0,100.0,64.65,5.0,0.0,5.0,5.0,100.0
2024-08-09,S&SPOWER,1566.67,491.78,94.44,0.31,17,1,18,18,76.46,5.0,0.0,5.0,5.0,100.0,216.29,5.0,0.0,5.0,5.0,100.0,199.03,7.0,1.0,8.0,8.0,87.5
2024-08-09,PRECOT,95.1,106.54,77.78,1.12,7,2,9,9,46.12,2.0,0.0,2.0,2.0,100.0,14.1,2.0,1.0,3.0,3.0,66.67,46.32,3.0,1.0,4.0,4.0,75.0
2024-08-09,RADAAN,118.18,343.91,77.27,2.91,17,5,22,22,140.31,6.0,3.0,9.0,9.0,66.67,53.35,5.0,2.0,7.0,7.0,71.43,150.25,6.0,0.0,6.0,6.0,100.0
2024-08-09,GRSE,975.38,188.54,76.92,0.19,10,3,13,13,31.63,2.0,1.0,3.0,3.0,66.67,74.31,4.0,1.0,5.0,5.0,80.0,82.6,4.0,1.0,5.0,5.0,80.0
2024-08-09,TVSMOTOR,366.51,141.85,76.92,0.39,10,3,13,13,21.24,2.0,2.0,4.0,4.0,50.0,57.41,5.0,1.0,6.0,6.0,83.33,63.2,3.0,0.0,3.0,3.0,100.0
2024-08-09,CGPOWER,790.94,160.14,75.0,0.2,12,4,16,16,53.11,5.0,1.0,6.0,6.0,83.33,84.35,5.0,0.0,5.0,5.0,100.0,22.68,2.0,3.0,5.0,5.0,40.0
2024-08-09,SELMC,-94.07,11427.88,75.0,-121.48,9,3,12,12,11336.7,1.0,0.0,1.0,1.0,100.0,66.71,5.0,0.0,5.0,5.0,100.0,24.47,3.0,3.0,6.0,6.0,50.0
2024-08-09,RUCHINFRA,81.72,171.49,72.73,2.1,8,3,11,11,50.98,3.0,1.0,4.0,4.0,75.0,16.33,3.0,2.0,5.0,5.0,60.0,104.18,2.0,0.0,2.0,2.0,100.0
2024-08-09,JBMA,874.42,318.34,72.73,0.36,8,3,11,11,127.64,3.0,1.0,4.0,4.0,75.0,134.96,3.0,0.0,3.0,3.0,100.0,55.74,2.0,2.0,4.0,4.0,50.0
