Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
TTML.NS,3242.22,16071.95,closeAboveATRBuySignal,atrSellSignal,14.0,15.0,29.0,29.0,48.28,4.96
RTNINDIA.NS,3551.28,4503.93,closeAboveATRBuySignal,atrSellSignal,15.0,13.0,29.0,29.0,51.72,1.27
SUZLON.NS,2155.52,3407.15,closeAboveATRBuySignal,atrSellSignal,17.0,10.0,27.0,27.0,62.96,1.58
ADANIGREEN.NS,912.9,2917.04,closeAboveATRBuySignal,atrSellSignal,15.0,11.0,26.0,26.0,57.69,3.2
JBMA.NS,1452.13,2877.25,closeAboveATRBuySignal,atrSellSignal,14.0,2.0,16.0,16.0,87.5,1.98
ALOKINDS.NS,811.48,2836.82,closeAboveATRBuySignal,atrSellSignal,11.0,16.0,27.0,27.0,40.74,3.5
TANLA.NS,1231.19,2624.19,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,10.0,12.0,22.0,22.0,45.45,2.13
PATANJALI.NS,318.66,2502.29,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,10.0,21.0,31.0,31.0,32.26,7.85
JAIBALAJI.NS,3666.6,2306.84,closeAboveATRBuySignal,atrSellSignal,12.0,10.0,22.0,22.0,54.55,0.63
BLS.NS,1777.03,2050.68,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,12.0,7.0,19.0,19.0,63.16,1.15
CGPOWER.NS,4775.8,2048.01,closeAboveATRBuySignal,atrSellSignal,19.0,8.0,27.0,27.0,70.37,0.43
OLECTRA.NS,908.48,1921.72,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,10.0,13.0,23.0,23.0,43.48,2.12
INTELLECT.NS,606.79,1576.78,closeAboveATRBuySignal,atrSellSignal,8.0,12.0,20.0,20.0,40.0,2.6
POONAWALLA.NS,838.48,1506.66,closeAboveATRBuySignal,atrSellSignal,14.0,9.0,23.0,23.0,60.87,1.8
ADANIENT.NS,1356.31,1434.87,closeAboveATRBuySignal,atrSellSignal,14.0,10.0,24.0,24.0,58.33,1.06
INOXWIND.NS,1525.86,1383.63,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,12.0,5.0,17.0,17.0,70.59,0.91
JWL.NS,2463.32,1347.93,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,11.0,9.0,20.0,20.0,55.0,0.55
FACT.NS,1537.12,1316.71,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,10.0,7.0,17.0,17.0,58.82,0.86
ADANIPOWER.NS,830.44,1305.13,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,15.0,8.0,23.0,23.0,65.22,1.57
KPITTECH.NS,1441.06,1304.26,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,12.0,9.0,21.0,21.0,57.14,0.91
JSL.NS,1673.62,1241.5,closeAboveATRBuySignal,atrSellSignal,11.0,9.0,20.0,20.0,55.0,0.74
BORORENEW.NS,1216.27,1066.72,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,9.0,10.0,19.0,19.0,47.37,0.88
ATGL.NS,415.92,1008.3,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,11.0,14.0,25.0,25.0,44.0,2.42
ANGELONE.NS,874.66,1007.57,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,10.0,6.0,16.0,16.0,62.5,1.15
TATAMTRDVR.NS,740.7,978.76,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,13.0,5.0,18.0,18.0,72.22,1.32
MASTEK.NS,544.67,943.31,closeAboveATRBuySignal,atrSellSignal,10.0,10.0,20.0,20.0,50.0,1.73
ELECON.NS,3086.48,938.46,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,13.0,9.0,22.0,22.0,59.09,0.3
SAREGAMA.NS,925.57,923.68,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,6.0,11.0,17.0,17.0,35.29,1.0
TITAGARH.NS,1786.23,913.03,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,7.0,8.0,15.0,15.0,46.67,0.51
BSOFT.NS,852.1,892.73,closeAboveATRBuySignal,atrSellSignal,14.0,7.0,21.0,21.0,66.67,1.05
PERSISTENT.NS,999.86,862.42,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,14.0,6.0,20.0,20.0,70.0,0.86
GPIL.NS,1364.73,764.4,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,11.0,10.0,21.0,21.0,52.38,0.56
BSE.NS,1558.31,762.56,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,9.0,12.0,21.0,21.0,42.86,0.49
TATAINVEST.NS,748.71,748.59,closeAboveATRBuySignal,atrSellSignal,13.0,5.0,18.0,18.0,72.22,1.0
RVNL.NS,1023.7,736.12,closeAboveATRBuySignal,atrSellSignal,14.0,8.0,22.0,22.0,63.64,0.72
IRB.NS,804.92,724.27,closeAboveATRBuySignal,atrSellSignal,12.0,11.0,23.0,23.0,52.17,0.9
TEJASNET.NS,742.99,694.06,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,12.0,14.0,26.0,26.0,46.15,0.93
TATAELXSI.NS,800.04,693.69,closeAboveATRBuySignal,atrSellSignal,15.0,9.0,24.0,24.0,62.5,0.87
