Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
SPCENET.NS,1820.69,263067.0,atrBuySignal,atrSellSignal,18.0,14.0,34.0,34.0,52.94,144.49
UNITEDPOLY.NS,1487.64,99715.6,atrBuySignal,atrSellSignal,21.0,14.0,36.0,36.0,58.33,67.03
SELMC.NS,-97.38,79862.24,atrBuySignal,atrSellSignal,15.0,18.0,36.0,36.0,41.67,-820.11
ESSENTIA.NS,516.45,67885.37,"atrBuySignal,stochasticBuySignal",atrSellSignal,12.0,5.0,21.0,21.0,57.14,131.45
JYOTISTRUC.NS,129.9,58063.2,atrBuySignal,atrSellSignal,26.0,18.0,44.0,44.0,59.09,446.98
ABMINTLLTD.NS,184.72,49976.62,atrBuySignal,atrSellSignal,18.0,36.0,55.0,55.0,32.73,270.55
ORCHPHARMA.NS,3764.97,49817.82,atrBuySignal,atrSellSignal,16.0,12.0,28.0,28.0,57.14,13.23
MASKINVEST.NS,213.81,43413.07,atrBuySignal,atrSellSignal,19.0,22.0,41.0,41.0,46.34,203.05
JITFINFRA.NS,1237.77,39844.58,atrBuySignal,atrSellSignal,19.0,26.0,45.0,45.0,42.22,32.19
UMESLTD.NS,134.04,33132.54,atrBuySignal,atrSellSignal,28.0,21.0,54.0,54.0,51.85,247.18
MELSTAR.NS,13.95,32471.35,atrBuySignal,atrSellSignal,21.0,27.0,49.0,49.0,42.86,2327.7
ADANIGREEN.NS,5519.21,28864.62,atrBuySignal,atrSellSignal,20.0,12.0,32.0,32.0,62.5,5.23
BLUECHIP.NS,712.5,25519.96,atrBuySignal,atrSellSignal,14.0,10.0,28.0,28.0,50.0,35.82
SEJALLTD.NS,-87.67,23129.31,atrBuySignal,atrSellSignal,18.0,14.0,36.0,36.0,50.0,-263.82
ASMS.NS,16.62,22825.14,atrBuySignal,atrSellSignal,17.0,26.0,43.0,43.0,39.53,1373.35
UNITECH.NS,161.63,20585.43,atrBuySignal,atrSellSignal,20.0,24.0,47.0,47.0,42.55,127.36
ALOKINDS.NS,705.8,20059.43,atrBuySignal,atrSellSignal,20.0,24.0,45.0,45.0,44.44,28.42
TTML.NS,1188.38,19653.64,atrBuySignal,atrSellSignal,19.0,27.0,46.0,46.0,41.3,16.54
WSI.NS,1468.39,18215.73,atrBuySignal,atrSellSignal,19.0,23.0,43.0,43.0,44.19,12.41
IMAGICAA.NS,14.9,18171.22,atrBuySignal,atrSellSignal,22.0,24.0,46.0,46.0,47.83,1219.54
BCG.NS,277.53,16532.55,atrBuySignal,atrSellSignal,21.0,29.0,50.0,50.0,42.0,59.57
TNTELE.NS,260.34,15591.53,atrBuySignal,atrSellSignal,20.0,31.0,60.0,60.0,33.33,59.89
DCMFINSERV.NS,45.33,15491.41,atrBuySignal,atrSellSignal,19.0,19.0,39.0,39.0,48.72,341.75
BALAXI.NS,3006.76,15090.93,atrBuySignal,atrSellSignal,12.0,14.0,28.0,28.0,42.86,5.02
RUCHINFRA.NS,242.11,13167.99,atrBuySignal,atrSellSignal,25.0,19.0,45.0,45.0,55.56,54.39
FCSSOFT.NS,1216.67,13110.22,atrBuySignal,atrSellSignal,15.0,10.0,26.0,26.0,57.69,10.78
HEXATRADEX.NS,826.96,12773.47,atrBuySignal,atrSellSignal,18.0,15.0,33.0,33.0,54.55,15.45
S&SPOWER.NS,2298.85,12741.86,atrBuySignal,atrSellSignal,18.0,6.0,24.0,24.0,75.0,5.54
CYBERMEDIA.NS,116.29,12484.67,rsiBuySignal,atrSellSignal,14.0,7.0,22.0,22.0,63.64,107.36
JAIBALAJI.NS,8579.57,11882.75,atrBuySignal,atrSellSignal,20.0,17.0,37.0,37.0,54.05,1.39
URJA.NS,1701.01,11786.71,atrBuySignal,atrSellSignal,18.0,31.0,51.0,51.0,35.29,6.93
EDUCOMP.NS,-66.5,11584.94,atrBuySignal,atrSellSignal,20.0,16.0,38.0,38.0,52.63,-174.21
REGENCERAM.NS,361.84,11256.84,rsiBuySignal,atrSellSignal,14.0,18.0,35.0,35.0,40.0,31.11
DBREALTY.NS,448.27,10766.08,atrBuySignal,atrSellSignal,22.0,25.0,47.0,47.0,46.81,24.02
CALSOFT.NS,164.23,10742.5,atrBuySignal,atrSellSignal,22.0,23.0,45.0,45.0,48.89,65.41
ALPSINDUS.NS,-71.43,10609.04,rsiBuySignal,atrSellSignal,16.0,19.0,36.0,36.0,44.44,-148.52
RADAAN.NS,6.67,9866.61,atrBuySignal,atrSellSignal,30.0,23.0,61.0,61.0,49.18,1479.25
